review_id,order_id,product_id,customer_id,rating,review_text,review_date,helpful_count
REV00059,ORD001919,PRD019,CUST0153,3,"Kainnya tipis, agak kecewa.",2024-08-06,15
REV00060,ORD001673,PRD259,CUST0373,2,"Modelnya keren, fit di badan.",2024-06-21,0
REV00061,ORD000676,PRD093,CUST0680,2,"Mantap, langganan terus dari sini.",2022-06-02,2
REV00062,ORD001231,PRD024,CUST0605,4,"Mantap, langganan terus dari sini.",2023-10-16,0
REV00063,ORD002331,PRD058,CUST0288,3,,2023-01-21,8
REV00064,ORD002956,PRD084,CUST0057,5,"Bahan premium, jahitan kuat.",2024-08-30,16
REV00065,ORD002177,PRD291,CUST0540,5,"Pengiriman cepat, packaging rapi.",2025-01-26,0
REV00066,ORD002587,PRD008,CUST0193,4,Pengiriman ngaret tapi barang bagus.,2023-09-17,19
REV00067,ORD002188,PRD153,CUST0015,4,Worth it dengan harganya.,2022-01-20,3
REV00068,ORD000625,PRD127,CUST0233,3,Pengiriman ngaret tapi barang bagus.,2023-05-12,0
REV00069,ORD001708,PRD070,CUST0269,4,"Cocok buat hangout, modelnya kekinian.",2023-03-13,5
REV00070,ORD000265,PRD258,CUST0735,4,"Untuk harga segini, kualitasnya mantap.",2023-06-30,3
REV00071,ORD002997,PRD228,CUST0327,5,Worth it dengan harganya.,2024-02-29,23
REV00072,ORD001584,PRD295,CUST0772,3,"Modelnya simple, gampang di-mix and match.",2024-10-30,7
REV00073,ORD000297,PRD188,CUST0794,4,"Bagus banget, suka sama designnya.",2023-07-27,0
REV00074,ORD000593,PRD260,CUST0145,5,"Agak mengecewakan, bahannya panas.",2023-07-22,20
REV00075,ORD002255,PRD036,CUST0709,4,Kualitas oke untuk harga segini.,2023-06-11,3
REV00076,ORD001867,PRD077,CUST0281,4,"Awalnya ragu, ternyata kualitasnya oke.",2024-08-21,0
REV00077,ORD001577,PRD296,CUST0001,4,,2024-01-30,0
REV00078,ORD002939,PRD234,CUST0301,5,"Jahitannya kurang rapi, tapi masih bisa dipake.",2023-01-24,0
REV00079,ORD000899,PRD199,CUST0531,4,"Kainnya tipis, agak kecewa.",2024-09-07,0
REV00080,ORD000269,PRD202,CUST0122,4,"Bagus banget, packaging juga aman.",2023-01-19,0
REV00081,ORD002959,PRD163,CUST0179,3,"Untuk harga segini, kualitasnya mantap.",2023-02-15,0
REV00082,ORD000640,PRD271,CUST0297,4,"Produk sampai dengan cepat, sesuai ekspektasi.",2022-06-11,5
REV00083,ORD002252,PRD204,CUST0221,5,"Agak mengecewakan, bahannya panas.",2025-01-20,7
REV00084,ORD002592,PRD114,CUST0182,5,"Cocok buat hangout, modelnya kekinian.",2023-07-11,5
REV00085,ORD001682,PRD267,CUST0505,4,Produknya bagus tapi pengiriman lama.,2023-03-24,15
REV00086,ORD001610,PRD256,CUST0527,2,Kualitas oke untuk harga segini.,2024-04-09,7
REV00087,ORD001256,PRD222,CUST0264,5,"Bagus banget, suka sama designnya.",2024-06-13,15
REV00088,ORD002500,PRD080,CUST0291,4,Produknya bagus tapi pengiriman lama.,2024-04-21,21
REV00089,ORD002686,PRD039,CUST0576,5,"Pelayanan seller ramah, fast response.",2023-08-24,2
REV00090,ORD001417,PRD265,CUST0185,5,"Modelnya simple, gampang di-mix and match.",2023-11-25,2
REV00091,ORD000123,PRD144,CUST0370,5,"Jahitannya kurang rapi, tapi masih bisa dipake.",2024-07-18,0
REV00092,ORD002608,PRD098,CUST0655,3,"Ukuran agak kekecilan, tapi bahan oke.",2023-10-09,3
REV00093,ORD001914,PRD172,CUST0715,5,"Modelnya simple, gampang di-mix and match.",2023-11-18,7
REV00094,ORD002588,PRD168,CUST0105,4,"Agak mengecewakan, bahannya panas.",2024-05-31,49
REV00095,ORD002074,PRD040,CUST0577,5,,2024-05-12,9
REV00096,ORD001829,PRD275,CUST0024,4,"Untuk harga segini, kualitasnya mantap.",2023-07-12,22
REV00097,ORD000432,PRD066,CUST0408,5,"Pelayanan seller ramah, fast response.",2022-01-06,24
REV00098,ORD000245,PRD227,CUST0356,3,"Ukuran sesuai size chart, recommended.",2025-02-23,0
REV00099,ORD000798,PRD064,CUST0052,5,Wah ini sih murah meriah tapi berkualitas.,2023-11-15,5
REV00100,ORD002808,PRD221,CUST0295,3,Worth it dengan harganya.,2022-12-14,7
REV00101,ORD001855,PRD184,CUST0749,3,"Untuk harga segini, kualitasnya mantap.",2023-08-23,19
REV00102,ORD000609,PRD220,CUST0515,5,"Produk original, terima kasih seller.",2025-01-14,0
REV00103,ORD001041,PRD187,CUST0241,5,Pengiriman ngaret tapi barang bagus.,2023-06-01,0
REV00104,ORD002683,PRD039,CUST0104,5,"Cocok buat hangout, modelnya kekinian.",2023-11-06,8
REV00105,ORD001139,PRD281,CUST0431,5,"Ukuran pas di badan, warna sesuai foto.",2024-05-04,0
REV00106,ORD001538,PRD271,CUST0050,5,Wah ini sih murah meriah tapi berkualitas.,2025-02-03,0
REV00107,ORD000594,PRD004,CUST0409,5,"Pelayanan seller ramah, fast response.",2023-07-03,10
REV00108,ORD000560,PRD111,CUST0142,4,"Bagus banget, packaging juga aman.",2024-03-02,5
REV00109,ORD000481,PRD170,CUST0198,5,"Pelayanan seller ramah, fast response.",2023-03-07,4
REV00110,ORD002583,PRD198,CUST0589,5,"Cocok buat hangout, modelnya kekinian.",2024-03-05,0
REV00111,ORD002408,PRD263,CUST0013,4,"Pengiriman cepat, packaging rapi.",2024-02-10,0
REV00112,ORD002938,PRD243,CUST0172,1,Kualitas oke untuk harga segini.,2023-11-01,3
REV00113,ORD000371,PRD086,CUST0238,5,"Bagus banget, suka sama designnya.",2024-06-09,0
REV00114,ORD002315,PRD211,CUST0028,4,"Pengiriman cepat, packaging rapi.",2024-11-14,4
REV00115,ORD002296,PRD211,CUST0708,4,"Bahan adem, cocok buat sehari-hari.",2023-05-30,12
REV00116,ORD000765,PRD101,CUST0411,4,"Untuk harga segini, kualitasnya mantap.",2024-01-06,8
REV00117,ORD001320,PRD189,CUST0153,5,,2025-02-21,0
REV00118,ORD000554,PRD222,CUST0205,5,"Awalnya ragu, ternyata kualitasnya oke.",2022-04-30,0
REV00119,ORD001370,PRD133,CUST0108,4,"Bahannya enak banget, jahitan rapi. Recommended!",2024-09-25,0
REV00120,ORD001338,PRD297,CUST0549,4,"Bagus banget, suka sama designnya.",2023-08-10,0
REV00121,ORD001626,PRD016,CUST0264,4,"Bahan premium, jahitan kuat.",2023-12-17,7
REV00122,ORD002699,PRD090,CUST0179,3,"Mantap, langganan terus dari sini.",2025-02-23,1
REV00123,ORD002409,PRD058,CUST0177,5,Worth it dengan harganya.,2024-09-07,5
REV00124,ORD002591,PRD025,CUST0283,4,"Bahannya enak banget, jahitan rapi. Recommended!",2023-01-12,5
REV00125,ORD000228,PRD188,CUST0447,5,"Bagus banget, suka sama designnya.",2023-03-07,10
REV00126,ORD002225,PRD181,CUST0602,4,"Pelayanan seller ramah, fast response.",2023-09-18,9
REV00127,ORD001152,PRD164,CUST0013,3,"Bahan adem, cocok buat sehari-hari.",2023-01-06,0
REV00128,ORD002527,PRD263,CUST0741,5,Produknya bagus tapi pengiriman lama.,2023-02-11,7
REV00129,ORD002978,PRD132,CUST0197,5,"Suka banget, repeat order pasti.",2022-04-26,7
REV00130,ORD001347,PRD091,CUST0566,5,"Bahan adem, cocok buat sehari-hari.",2022-11-27,34
REV00131,ORD001410,PRD270,CUST0618,4,Wah ini sih murah meriah tapi berkualitas.,2023-08-27,0
REV00132,ORD000770,PRD042,CUST0198,5,Warna agak beda dari foto.,2024-11-13,10
REV00133,ORD000882,PRD026,CUST0763,4,"Pengiriman cepat, packaging rapi.",2023-11-25,9
REV00134,ORD002414,PRD068,CUST0295,1,"Suka banget, repeat order pasti.",2023-02-12,0
REV00135,ORD002123,PRD074,CUST0340,5,Wah ini sih murah meriah tapi berkualitas.,2025-01-19,0
REV00136,ORD000567,PRD016,CUST0323,5,"Modelnya keren, fit di badan.",2024-07-07,0
REV00137,ORD000580,PRD260,CUST0641,3,"Ukuran agak kekecilan, tapi bahan oke.",2024-04-02,4
REV00138,ORD002918,PRD007,CUST0784,3,"Suka banget, repeat order pasti.",2023-08-16,0
REV00139,ORD000614,PRD268,CUST0648,3,Kualitas oke untuk harga segini.,2024-12-10,30
REV00140,ORD002073,PRD161,CUST0432,3,"Suka banget, repeat order pasti.",2023-10-17,1
REV00141,ORD000033,PRD129,CUST0126,5,"Untuk harga segini, kualitasnya mantap.",2023-10-13,0
REV00142,ORD001888,PRD278,CUST0646,4,"Produk original, terima kasih seller.",2024-02-28,3
REV00143,ORD001795,PRD254,CUST0101,1,"Mantap, langganan terus dari sini.",2024-06-21,2
REV00144,ORD000777,PRD190,CUST0048,3,,2024-03-20,27
REV00145,ORD001252,PRD087,CUST0454,5,"Pelayanan seller ramah, fast response.",2025-02-24,0
REV00146,ORD000641,PRD034,CUST0062,5,Pengiriman ngaret tapi barang bagus.,2022-12-19,0
REV00147,ORD001624,PRD011,CUST0261,5,"Cocok buat hangout, modelnya kekinian.",2024-05-24,10
REV00148,ORD001270,PRD003,CUST0214,3,"Cocok buat hangout, modelnya kekinian.",2025-01-07,0
REV00149,ORD000781,PRD112,CUST0501,4,"Produk original, terima kasih seller.",2023-10-07,0
REV00150,ORD000291,PRD064,CUST0399,3,"Produk original, terima kasih seller.",2024-03-06,22
REV00151,ORD002045,PRD213,CUST0571,2,"Pengiriman cepat, packaging rapi.",2024-10-11,3
REV00152,ORD000133,PRD276,CUST0571,4,"Bagus banget, suka sama designnya.",2024-07-16,0
REV00153,ORD002624,PRD063,CUST0182,5,"Awalnya ragu, ternyata kualitasnya oke.",2022-02-24,0
REV00154,ORD000102,PRD014,CUST0399,5,Kualitas oke untuk harga segini.,2022-01-12,9
REV00155,ORD002810,PRD223,CUST0594,3,"Ukuran agak kekecilan, tapi bahan oke.",2023-12-21,0
REV00156,ORD002290,PRD071,CUST0094,3,"Produk sampai dengan cepat, sesuai ekspektasi.",2024-10-18,8
REV00157,ORD000680,PRD224,CUST0356,5,"Kainnya tipis, agak kecewa.",2024-06-15,1
REV00158,ORD001404,PRD031,CUST0370,5,,2024-03-04,3
REV00159,ORD000903,PRD100,CUST0132,5,Pengiriman ngaret tapi barang bagus.,2022-09-17,9
REV00160,ORD000429,PRD135,CUST0458,5,"Agak mengecewakan, bahannya panas.",2024-06-04,8
REV00161,ORD002662,PRD011,CUST0642,4,"Ukuran pas di badan, warna sesuai foto.",2024-04-02,0
REV00162,ORD002746,PRD097,CUST0191,5,"Ukuran pas di badan, warna sesuai foto.",2023-03-31,0
REV00163,ORD000920,PRD006,CUST0004,1,"Pengiriman cepat, packaging rapi.",2022-02-17,0
REV00164,ORD001013,PRD185,CUST0214,5,"Tidak sesuai ekspektasi, kurang puas.",2024-10-03,27
REV00165,ORD002628,PRD228,CUST0332,5,"Ukuran agak kekecilan, tapi bahan oke.",2023-04-03,0
REV00166,ORD000968,PRD137,CUST0136,4,,2023-01-18,0
REV00167,ORD001884,PRD027,CUST0475,4,"Tidak sesuai ekspektasi, kurang puas.",2024-12-01,0
REV00168,ORD002101,PRD130,CUST0304,4,Wah ini sih murah meriah tapi berkualitas.,2022-11-12,9
REV00169,ORD001988,PRD264,CUST0327,5,"Bahannya enak banget, jahitan rapi. Recommended!",2023-09-19,8
REV00170,ORD000796,PRD015,CUST0579,5,"Produk original, terima kasih seller.",2023-10-07,1
REV00171,ORD002023,PRD218,CUST0213,3,"Ukuran agak kekecilan, tapi bahan oke.",2024-05-18,12
REV00172,ORD001036,PRD198,CUST0145,5,"Ukuran pas di badan, warna sesuai foto.",2024-09-05,2
REV00173,ORD001459,PRD027,CUST0348,4,"Agak mengecewakan, bahannya panas.",2024-04-25,0
REV00174,ORD002673,PRD130,CUST0529,5,"Pengiriman cepat, packaging rapi.",2023-09-19,0
REV00175,ORD000406,PRD149,CUST0155,5,,2024-06-03,2
REV00176,ORD002266,PRD032,CUST0800,5,Kualitas oke untuk harga segini.,2024-06-28,2
REV00177,ORD002717,PRD154,CUST0114,4,"Ukuran agak kekecilan, tapi bahan oke.",2022-06-17,6
REV00178,ORD002674,PRD299,CUST0682,4,,2024-09-19,1
REV00179,ORD002118,PRD256,CUST0221,4,Wah ini sih murah meriah tapi berkualitas.,2023-04-17,20
REV00180,ORD001793,PRD141,CUST0677,5,"Modelnya simple, gampang di-mix and match.",2024-03-05,0
REV00181,ORD000050,PRD103,CUST0291,4,"Ukuran pas di badan, warna sesuai foto.",2023-07-27,0
REV00182,ORD002484,PRD221,CUST0214,4,Worth it dengan harganya.,2024-11-09,10
REV00183,ORD000576,PRD001,CUST0739,5,Wah ini sih murah meriah tapi berkualitas.,2024-06-27,2
REV00184,ORD001467,PRD207,CUST0062,5,"Pelayanan seller ramah, fast response.",2024-04-22,0
REV00185,ORD001351,PRD161,CUST0685,4,"Cocok buat hangout, modelnya kekinian.",2023-11-03,4
REV00186,ORD001046,PRD272,CUST0453,2,"Modelnya simple, gampang di-mix and match.",2024-07-05,1
REV00187,ORD000421,PRD010,CUST0504,3,"Kainnya tipis, agak kecewa.",2024-12-08,0
REV00188,ORD002084,PRD132,CUST0087,2,"Bahan premium, jahitan kuat.",2024-05-01,0
REV00189,ORD000915,PRD200,CUST0097,4,"Kainnya tipis, agak kecewa.",2023-01-19,0
REV00190,ORD000335,PRD192,CUST0019,5,"Kainnya tipis, agak kecewa.",2023-09-26,0
REV00191,ORD002800,PRD045,CUST0229,5,"Bagus banget, packaging juga aman.",2025-01-11,0
REV00192,ORD001768,PRD051,CUST0135,3,"Bahan adem, cocok buat sehari-hari.",2022-06-14,0
REV00193,ORD000565,PRD062,CUST0327,5,"Modelnya simple, gampang di-mix and match.",2023-09-24,8
REV00194,ORD001457,PRD182,CUST0694,4,"Bagus banget, packaging juga aman.",2023-12-18,8
REV00195,ORD002605,PRD092,CUST0040,3,Wah ini sih murah meriah tapi berkualitas.,2024-01-08,0
REV00196,ORD002883,PRD103,CUST0529,5,Warna agak beda dari foto.,2025-03-02,0
REV00197,ORD000138,PRD086,CUST0653,5,"Pelayanan seller ramah, fast response.",2025-01-07,10
REV00198,ORD000690,PRD274,CUST0281,5,Worth it dengan harganya.,2022-12-06,46
REV00199,ORD002911,PRD051,CUST0792,3,"Pengiriman cepat, packaging rapi.",2024-05-13,9
REV00200,ORD000058,PRD001,CUST0007,5,"Untuk harga segini, kualitasnya mantap.",2025-02-28,2
REV00201,ORD002444,PRD219,CUST0721,4,Kualitas oke untuk harga segini.,2024-09-05,10
REV00202,ORD000453,PRD187,CUST0399,1,"Bahannya enak banget, jahitan rapi. Recommended!",2024-11-28,0
REV00203,ORD002742,PRD244,CUST0593,5,"Untuk harga segini, kualitasnya mantap.",2024-03-24,0
REV00204,ORD001461,PRD036,CUST0553,2,Kualitas oke untuk harga segini.,2025-02-21,7
REV00205,ORD002658,PRD238,CUST0345,5,"Produk sampai dengan cepat, sesuai ekspektasi.",2023-02-19,0
REV00206,ORD001003,PRD299,CUST0296,5,"Ukuran agak kekecilan, tapi bahan oke.",2022-05-21,1
REV00207,ORD002724,PRD068,CUST0521,5,"Tidak sesuai ekspektasi, kurang puas.",2023-11-07,0
REV00208,ORD001258,PRD059,CUST0291,4,Wah ini sih murah meriah tapi berkualitas.,2024-02-06,23
REV00209,ORD000295,PRD246,CUST0633,5,"Produk original, terima kasih seller.",2025-02-10,20
REV00210,ORD002159,PRD164,CUST0578,4,"Cocok buat hangout, modelnya kekinian.",2024-11-29,0
REV00211,ORD002481,PRD299,CUST0744,3,"Tidak sesuai ekspektasi, kurang puas.",2024-07-06,2
REV00212,ORD001429,PRD004,CUST0590,4,"Agak mengecewakan, bahannya panas.",2023-10-13,44
REV00213,ORD002154,PRD167,CUST0068,5,"Bahan premium, jahitan kuat.",2024-10-19,37
REV00214,ORD002148,PRD042,CUST0097,1,"Sesuai deskripsi, akan beli lagi.",2024-11-10,24
REV00215,ORD000081,PRD069,CUST0478,5,,2024-02-23,7
REV00216,ORD001119,PRD161,CUST0118,4,"Tidak sesuai ekspektasi, kurang puas.",2023-07-03,0
REV00217,ORD000375,PRD110,CUST0653,2,Pengiriman ngaret tapi barang bagus.,2022-05-21,0
REV00218,ORD000289,PRD098,CUST0361,5,"Mantap, langganan terus dari sini.",2024-11-26,0
REV00219,ORD000167,PRD290,CUST0295,5,"Bagus banget, packaging juga aman.",2023-09-12,9
REV00220,ORD002427,PRD228,CUST0603,5,Kualitas oke untuk harga segini.,2024-06-13,0
REV00221,ORD001533,PRD115,CUST0215,5,Produknya bagus tapi pengiriman lama.,2024-07-18,0
REV00222,ORD002755,PRD152,CUST0469,4,"Tidak sesuai ekspektasi, kurang puas.",2024-11-08,4
REV00223,ORD000906,PRD242,CUST0374,5,"Ukuran agak kekecilan, tapi bahan oke.",2024-03-21,0
REV00224,ORD001069,PRD075,CUST0324,4,"Ukuran agak kekecilan, tapi bahan oke.",2023-09-17,6
REV00225,ORD000534,PRD289,CUST0683,3,"Untuk harga segini, kualitasnya mantap.",2025-01-29,0
REV00226,ORD001477,PRD082,CUST0705,4,"Bagus banget, packaging juga aman.",2024-08-09,1
REV00227,ORD001197,PRD014,CUST0557,3,"Ukuran agak kekecilan, tapi bahan oke.",2023-12-28,0
REV00228,ORD001473,PRD242,CUST0497,4,Wah ini sih murah meriah tapi berkualitas.,2023-01-15,0
REV00229,ORD001276,PRD228,CUST0755,4,"Bahannya enak banget, jahitan rapi. Recommended!",2022-10-14,0
REV00230,ORD002707,PRD028,CUST0142,4,Wah ini sih murah meriah tapi berkualitas.,2024-09-04,44
REV00231,ORD001675,PRD123,CUST0382,4,"Bagus banget, packaging juga aman.",2023-04-08,0
REV00232,ORD000731,PRD027,CUST0150,5,"Kainnya tipis, agak kecewa.",2022-03-26,29
REV00233,ORD000852,PRD270,CUST0009,5,Warna agak beda dari foto.,2022-09-13,8
REV00234,ORD001496,PRD232,CUST0514,3,Kualitas oke untuk harga segini.,2023-09-13,2
REV00235,ORD001142,PRD041,CUST0410,5,"Ukuran agak kekecilan, tapi bahan oke.",2022-05-17,3
REV00236,ORD001254,PRD062,CUST0008,4,Wah ini sih murah meriah tapi berkualitas.,2023-09-09,0
REV00237,ORD002604,PRD054,CUST0546,5,"Pelayanan seller ramah, fast response.",2024-11-23,37
REV00238,ORD002162,PRD164,CUST0336,3,"Bahan premium, jahitan kuat.",2024-03-15,0
REV00239,ORD002705,PRD097,CUST0369,4,"Ukuran pas di badan, warna sesuai foto.",2023-08-17,8
REV00240,ORD000357,PRD084,CUST0547,3,Wah ini sih murah meriah tapi berkualitas.,2023-03-26,0
REV00241,ORD001850,PRD222,CUST0768,5,"Kainnya tipis, agak kecewa.",2023-12-29,0
REV00242,ORD000218,PRD125,CUST0303,5,"Ukuran agak kekecilan, tapi bahan oke.",2023-08-02,1
REV00243,ORD001012,PRD286,CUST0235,5,"Ukuran agak kekecilan, tapi bahan oke.",2024-08-21,9
REV00244,ORD000206,PRD276,CUST0758,5,"Bahan adem, cocok buat sehari-hari.",2022-05-03,2
REV00245,ORD002067,PRD140,CUST0625,5,"Produk original, terima kasih seller.",2022-05-27,0
REV00246,ORD000117,PRD082,CUST0571,4,,2024-11-19,40
REV00247,ORD001543,PRD222,CUST0072,4,"Bahannya enak banget, jahitan rapi. Recommended!",2023-11-24,4
REV00248,ORD000851,PRD188,CUST0551,4,"Bahannya enak banget, jahitan rapi. Recommended!",2025-02-20,0
REV00249,ORD000309,PRD154,CUST0608,2,Wah ini sih murah meriah tapi berkualitas.,2023-01-11,23
REV00250,ORD002772,PRD162,CUST0272,5,"Jahitannya kurang rapi, tapi masih bisa dipake.",2022-06-14,0
REV00251,ORD000177,PRD190,CUST0646,4,"Bahannya enak banget, jahitan rapi. Recommended!",2024-11-12,0
REV00252,ORD000788,PRD042,CUST0478,5,Kualitas oke untuk harga segini.,2024-10-28,0
REV00253,ORD002332,PRD258,CUST0461,4,"Ukuran agak kekecilan, tapi bahan oke.",2024-09-03,0
REV00254,ORD002850,PRD085,CUST0437,3,"Sesuai deskripsi, akan beli lagi.",2023-10-21,0
REV00255,ORD001917,PRD138,CUST0665,4,,2024-07-12,4
REV00256,ORD000950,PRD053,CUST0461,5,"Bahan adem, cocok buat sehari-hari.",2024-05-26,0
REV00257,ORD001890,PRD225,CUST0550,5,Warna agak beda dari foto.,2023-07-03,24
REV00258,ORD001870,PRD149,CUST0363,1,Warna agak beda dari foto.,2025-01-24,43
REV00259,ORD002311,PRD032,CUST0053,3,"Ukuran sesuai size chart, recommended.",2023-01-18,2
REV00260,ORD002928,PRD163,CUST0567,3,"Suka banget, repeat order pasti.",2023-11-11,4
REV00261,ORD002312,PRD294,CUST0110,5,"Modelnya keren, fit di badan.",2024-09-23,0
REV00262,ORD002985,PRD162,CUST0226,5,"Bagus banget, packaging juga aman.",2024-05-18,23
REV00263,ORD002813,PRD016,CUST0087,5,Worth it dengan harganya.,2024-12-31,0
REV00264,ORD002052,PRD187,CUST0171,3,"Untuk harga segini, kualitasnya mantap.",2024-06-21,3
REV00265,ORD002903,PRD002,CUST0163,3,"Bagus banget, packaging juga aman.",2024-10-08,0
REV00266,ORD002868,PRD287,CUST0079,4,"Ukuran sesuai size chart, recommended.",2022-03-05,10
REV00267,ORD000457,PRD142,CUST0237,4,Worth it dengan harganya.,2024-11-01,20
REV00268,ORD002433,PRD074,CUST0367,5,Pengiriman ngaret tapi barang bagus.,2024-02-08,1
REV00269,ORD002230,PRD190,CUST0091,4,"Cocok buat hangout, modelnya kekinian.",2022-08-04,0
REV00270,ORD001903,PRD212,CUST0371,1,"Bahannya enak banget, jahitan rapi. Recommended!",2023-01-01,10
REV00271,ORD000949,PRD181,CUST0495,2,Kualitas oke untuk harga segini.,2024-01-28,0
